"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","combat","Z:\Workspace\combat\combat\Bullet.java","3","62","The class 'Bullet' has a Cyclomatic Complexity of 5 (Highest = 25).","Code Size","CyclomaticComplexity"
"2","combat","Z:\Workspace\combat\combat\Bullet.java","3","111","Avoid really long methods.","Code Size","ExcessiveMethodLength"
"3","combat","Z:\Workspace\combat\combat\Bullet.java","3","111","The method 'conflict' has a Cyclomatic Complexity of 25.","Code Size","CyclomaticComplexity"
"4","combat","Z:\Workspace\combat\combat\Bullet.java","3","111","The method conflict() has an NPath complexity of 633","Code Size","NPathComplexity"
"5","combat","Z:\Workspace\combat\combat\Bullet.java","3","226","The method 'moveForward' has a Cyclomatic Complexity of 10.","Code Size","CyclomaticComplexity"
"1","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","3","53","The class 'CommandInterpreter' has a Cyclomatic Complexity of 4 (Highest = 11).","Code Size","CyclomaticComplexity"
"2","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","3","87","The method 'keyPressed' has a Cyclomatic Complexity of 11.","Code Size","CyclomaticComplexity"
"1","combat","Z:\Workspace\combat\combat\DirectionalImage.java","3","93","Too many fields","Code Size","TooManyFields"
"1","combat","Z:\Workspace\combat\combat\Game.java","3","127","The class 'Game' has a Cyclomatic Complexity of 2 (Highest = 10).","Code Size","CyclomaticComplexity"
"2","combat","Z:\Workspace\combat\combat\Game.java","3","254","The method 'run' has a Cyclomatic Complexity of 10.","Code Size","CyclomaticComplexity"
"1","combat","Z:\Workspace\combat\combat\Player.java","3","78","The class 'Player' has a Cyclomatic Complexity of 4 (Highest = 10).","Code Size","CyclomaticComplexity"
"2","combat","Z:\Workspace\combat\combat\Player.java","3","135","The method 'moveForward' has a Cyclomatic Complexity of 10.","Code Size","CyclomaticComplexity"
"3","combat","Z:\Workspace\combat\combat\Player.java","3","181","The method 'moveBackward' has a Cyclomatic Complexity of 10.","Code Size","CyclomaticComplexity"
"1","combat","Z:\Workspace\combat\combat\PlayerManager.java","3","95","The class 'PlayerManager' has a Cyclomatic Complexity of 4 (Highest = 15).","Code Size","CyclomaticComplexity"
"2","combat","Z:\Workspace\combat\combat\PlayerManager.java","3","173","The method 'move' has a Cyclomatic Complexity of 15.","Code Size","CyclomaticComplexity"
