Removed misconfigured rule: LoosePackageCoupling  cause: No packages or classes specified
Removed misconfigured rule: LoosePackageCoupling  cause: No packages or classes specified
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","combat","Z:\Workspace\combat\combat\Board.java","3","108","Avoid using implementation types like 'Hashtable'; use the interface instead","Coupling","LooseCoupling"
"1","combat","Z:\Workspace\combat\combat\Bullet.java","3","148","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\Bullet.java","3","155","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\Combat.java","3","123","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\Combat.java","3","129","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"3","combat","Z:\Workspace\combat\combat\Combat.java","3","130","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"4","combat","Z:\Workspace\combat\combat\Combat.java","3","131","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\CombatMenu.java","3","194","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\CombatMenu.java","3","195","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","3","149","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\DirectionalImage.java","3","127","Avoid using implementation types like 'Hashtable'; use the interface instead","Coupling","LooseCoupling"
"2","combat","Z:\Workspace\combat\combat\DirectionalImage.java","3","245","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\Game.java","3","184","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\Game.java","3","188","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\ImmutableList.java","3","111","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\ImmutableList.java","3","112","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\KeyDialog.java","3","117","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\KeyDialog.java","3","133","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\LevelBuilder.java","3","101","Avoid using implementation types like 'LinkedList'; use the interface instead","Coupling","LooseCoupling"
"2","combat","Z:\Workspace\combat\combat\LevelBuilder.java","3","206","Avoid using implementation types like 'LinkedList'; use the interface instead","Coupling","LooseCoupling"
"3","combat","Z:\Workspace\combat\combat\LevelBuilder.java","3","252","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"1","combat","Z:\Workspace\combat\combat\TimeManager.java","3","131","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"2","combat","Z:\Workspace\combat\combat\TimeManager.java","3","132","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"3","combat","Z:\Workspace\combat\combat\TimeManager.java","3","132","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"4","combat","Z:\Workspace\combat\combat\TimeManager.java","3","132","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"5","combat","Z:\Workspace\combat\combat\TimeManager.java","3","136","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"6","combat","Z:\Workspace\combat\combat\TimeManager.java","3","137","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"7","combat","Z:\Workspace\combat\combat\TimeManager.java","3","137","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"8","combat","Z:\Workspace\combat\combat\TimeManager.java","3","137","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
