"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","combat","Z:\Workspace\combat\combat\Bullet.java","4","136","Useless parentheses.","Unnecessary","UselessParentheses"
"2","combat","Z:\Workspace\combat\combat\Bullet.java","4","136","Useless parentheses.","Unnecessary","UselessParentheses"
"3","combat","Z:\Workspace\combat\combat\Bullet.java","4","136","Useless parentheses.","Unnecessary","UselessParentheses"
"4","combat","Z:\Workspace\combat\combat\Bullet.java","4","137","Useless parentheses.","Unnecessary","UselessParentheses"
"5","combat","Z:\Workspace\combat\combat\Bullet.java","4","139","Useless parentheses.","Unnecessary","UselessParentheses"
"6","combat","Z:\Workspace\combat\combat\Bullet.java","4","171","Useless parentheses.","Unnecessary","UselessParentheses"
"7","combat","Z:\Workspace\combat\combat\Bullet.java","4","172","Useless parentheses.","Unnecessary","UselessParentheses"
"8","combat","Z:\Workspace\combat\combat\Bullet.java","4","172","Useless parentheses.","Unnecessary","UselessParentheses"
"9","combat","Z:\Workspace\combat\combat\Bullet.java","4","174","Useless parentheses.","Unnecessary","UselessParentheses"
"10","combat","Z:\Workspace\combat\combat\Bullet.java","4","181","Useless parentheses.","Unnecessary","UselessParentheses"
"11","combat","Z:\Workspace\combat\combat\Bullet.java","4","182","Useless parentheses.","Unnecessary","UselessParentheses"
"12","combat","Z:\Workspace\combat\combat\Bullet.java","4","182","Useless parentheses.","Unnecessary","UselessParentheses"
"13","combat","Z:\Workspace\combat\combat\Bullet.java","4","184","Useless parentheses.","Unnecessary","UselessParentheses"
"14","combat","Z:\Workspace\combat\combat\Bullet.java","4","192","Useless parentheses.","Unnecessary","UselessParentheses"
"15","combat","Z:\Workspace\combat\combat\Bullet.java","4","193","Useless parentheses.","Unnecessary","UselessParentheses"
"16","combat","Z:\Workspace\combat\combat\Bullet.java","4","193","Useless parentheses.","Unnecessary","UselessParentheses"
"17","combat","Z:\Workspace\combat\combat\Bullet.java","4","195","Useless parentheses.","Unnecessary","UselessParentheses"
"18","combat","Z:\Workspace\combat\combat\Bullet.java","4","202","Useless parentheses.","Unnecessary","UselessParentheses"
"19","combat","Z:\Workspace\combat\combat\Bullet.java","4","203","Useless parentheses.","Unnecessary","UselessParentheses"
"20","combat","Z:\Workspace\combat\combat\Bullet.java","4","203","Useless parentheses.","Unnecessary","UselessParentheses"
"21","combat","Z:\Workspace\combat\combat\Bullet.java","4","205","Useless parentheses.","Unnecessary","UselessParentheses"
"22","combat","Z:\Workspace\combat\combat\Bullet.java","4","239","Useless parentheses.","Unnecessary","UselessParentheses"
"23","combat","Z:\Workspace\combat\combat\Bullet.java","4","242","Useless parentheses.","Unnecessary","UselessParentheses"
"24","combat","Z:\Workspace\combat\combat\Bullet.java","4","245","Useless parentheses.","Unnecessary","UselessParentheses"
"25","combat","Z:\Workspace\combat\combat\Bullet.java","4","248","Useless parentheses.","Unnecessary","UselessParentheses"
"26","combat","Z:\Workspace\combat\combat\Bullet.java","4","251","Useless parentheses.","Unnecessary","UselessParentheses"
"27","combat","Z:\Workspace\combat\combat\Bullet.java","4","254","Useless parentheses.","Unnecessary","UselessParentheses"
"28","combat","Z:\Workspace\combat\combat\Bullet.java","4","257","Useless parentheses.","Unnecessary","UselessParentheses"
"29","combat","Z:\Workspace\combat\combat\Bullet.java","4","260","Useless parentheses.","Unnecessary","UselessParentheses"
"1","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","4","93","Useless parentheses.","Unnecessary","UselessParentheses"
"2","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","4","93","Useless parentheses.","Unnecessary","UselessParentheses"
"3","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","4","93","Useless parentheses.","Unnecessary","UselessParentheses"
"4","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","4","93","Useless parentheses.","Unnecessary","UselessParentheses"
"5","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","4","94","Useless parentheses.","Unnecessary","UselessParentheses"
"6","combat","Z:\Workspace\combat\combat\CommandInterpreter.java","4","96","Useless parentheses.","Unnecessary","UselessParentheses"
